timestamp,Conditions,DateUTC<br />,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeMDT,TimeMST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,timestamp
2012-01-01 00:53:00,Clear,2012-01-01 07:53:00<br />,-8.9,,-,58.0,,1028.0,-1.7,,12:53 AM,16.1,SSW,11.1,200,2012-01-01 00:53:00
2012-01-01 01:53:00,Clear,2012-01-01 08:53:00<br />,-8.3,,-,63.0,,1028.5,-2.2,,1:53 AM,16.1,Calm,Calm,0,2012-01-01 01:53:00
2012-01-01 02:53:00,Clear,2012-01-01 09:53:00<br />,-8.3,,-,69.0,,1029.0,-3.3,,2:53 AM,16.1,Calm,Calm,0,2012-01-01 02:53:00
2012-01-01 03:53:00,Clear,2012-01-01 10:53:00<br />,-8.3,,-,75.0,,1029.9,-4.4,,3:53 AM,16.1,NNE,13.0,20,2012-01-01 03:53:00
2012-01-01 04:53:00,Clear,2012-01-01 11:53:00<br />,-8.3,,-,78.0,,1031.3,-5.0,,4:53 AM,16.1,North,14.8,360,2012-01-01 04:53:00
2012-01-01 05:53:00,Clear,2012-01-01 12:53:00<br />,-10.6,,-,65.0,,1032.9,-5.0,,5:53 AM,16.1,North,14.8,10,2012-01-01 05:53:00
2012-01-01 07:53:00,Clear,2012-01-01 14:53:00<br />,-11.1,,-,60.0,,1034.5,-4.4,,7:53 AM,16.1,North,22.2,360,2012-01-01 07:53:00
2012-01-01 08:53:00,Clear,2012-01-01 15:53:00<br />,-12.2,,-,47.0,,1034.7,-2.2,,8:53 AM,16.1,North,29.6,360,2012-01-01 08:53:00
2012-01-01 09:53:00,Clear,2012-01-01 16:53:00<br />,-12.2,,-,42.0,,1035.5,-0.6,,9:53 AM,16.1,North,25.9,10,2012-01-01 09:53:00
2012-01-01 10:53:00,Clear,2012-01-01 17:53:00<br />,-11.7,,-,37.0,,1034.2,1.7,,10:53 AM,16.1,North,18.5,360,2012-01-01 10:53:00
2012-01-01 11:53:00,Clear,2012-01-01 18:53:00<br />,-11.1,,-,35.0,,1033.7,3.3,,11:53 AM,16.1,North,20.4,10,2012-01-01 11:53:00
2012-01-01 12:53:00,Clear,2012-01-01 19:53:00<br />,-11.1,,-,31.0,,1032.7,5.0,,12:53 PM,16.1,North,20.4,360,2012-01-01 12:53:00
2012-01-01 13:53:00,Clear,2012-01-01 20:53:00<br />,-7.8,,-,37.0,,1031.9,6.1,,1:53 PM,16.1,SSW,9.3,210,2012-01-01 13:53:00
2012-01-01 14:53:00,Clear,2012-01-01 21:53:00<br />,-9.4,,-,30.0,,1032.0,7.2,,2:53 PM,16.1,WSW,9.3,240,2012-01-01 14:53:00
2012-01-01 15:53:00,Clear,2012-01-01 22:53:00<br />,-6.7,,-,38.0,,1033.0,6.7,,3:53 PM,16.1,SW,7.4,230,2012-01-01 15:53:00
2012-01-01 16:53:00,Clear,2012-01-01 23:53:00<br />,-7.8,,-,45.0,,1034.2,3.3,,4:53 PM,16.1,SW,7.4,220,2012-01-01 16:53:00
2012-01-01 17:53:00,Clear,2012-01-02 00:53:00<br />,-10.0,,-,41.0,,1034.6,2.2,,5:53 PM,16.1,WNW,7.4,290,2012-01-01 17:53:00
2012-01-01 18:53:00,Clear,2012-01-02 01:53:00<br />,-7.8,,-,52.0,,1035.7,1.1,,6:53 PM,16.1,North,7.4,360,2012-01-01 18:53:00
2012-01-01 19:53:00,Clear,2012-01-02 02:53:00<br />,-6.1,,-,75.0,,1036.7,-2.2,,7:53 PM,16.1,NNE,11.1,20,2012-01-01 19:53:00
2012-01-01 20:53:00,Clear,2012-01-02 03:53:00<br />,-8.9,,-,54.0,,1035.4,-0.6,,8:53 PM,16.1,NNW,13.0,340,2012-01-01 20:53:00
2012-01-01 21:53:00,Clear,2012-01-02 04:53:00<br />,-9.4,,-,52.0,,1035.6,-0.6,,9:53 PM,16.1,NNE,13.0,20,2012-01-01 21:53:00
2012-01-01 22:53:00,Clear,2012-01-02 05:53:00<br />,-10.0,,-,54.0,,1035.3,-1.7,,10:53 PM,16.1,North,9.3,360,2012-01-01 22:53:00
2012-01-01 23:53:00,Clear,2012-01-02 06:53:00<br />,-9.4,,-,58.0,,1034.8,-2.2,,11:53 PM,16.1,NNW,14.8,340,2012-01-01 23:53:00
2012-01-02 00:53:00,Clear,2012-01-02 07:53:00<br />,-10.6,,-,56.0,,1034.4,-2.8,,12:53 AM,16.1,North,14.8,360,2012-01-02 00:53:00
2012-01-02 01:53:00,Clear,2012-01-02 08:53:00<br />,-11.7,,-,51.0,,1034.4,-2.8,,1:53 AM,16.1,NNE,27.8,20,2012-01-02 01:53:00
2012-01-02 02:53:00,Clear,2012-01-02 09:53:00<br />,-11.1,,-,55.0,,1034.4,-3.3,,2:53 AM,16.1,North,18.5,10,2012-01-02 02:53:00
2012-01-02 03:53:00,Clear,2012-01-02 10:53:00<br />,-11.1,,-,55.0,,1034.9,-3.3,,3:53 AM,16.1,NNE,20.4,30,2012-01-02 03:53:00
2012-01-02 04:53:00,Clear,2012-01-02 11:53:00<br />,-11.1,,-,58.0,,1035.8,-3.9,,4:53 AM,16.1,NE,11.1,40,2012-01-02 04:53:00
